id,scene,seed_group,pass,act,cue_at,vo_cue,prompt,negative_prompt,aspect_ratio,save_as
S002-line,S002,S002,line,ACT 0 — THE HOOK,0:02,Hira. A cave on a mountain outside Mecca,"A dark cave mouth in a bare rock face seen from inside, looking out at a blinding pale sky. The opening is a hard-edged shape of light. No figure., line art only, no colour, no wash STYLE: ink and watercolour on aged parchment. Loose confident pen line, wet bleeding washes with visible grain and hard edges where the water dried. Palette: raw sienna, burnt umber, ochre, warm grey, with sparing indigo and a single warm gold accent. Muted, aged, hand-made. Generous empty parchment. Cinematic 16:9, 1920x1080.","no text, no letters, no writing, no numerals, no calligraphy, no signature, no watermark, no human face, no facial features, no portrait, no photoreal skin, no 3D render, no digital gloss, no lens flare, no modern objects, no crosses, no church architecture, no menorah, no Star of David.",16:9,S002-line.png
S002-wash,S002,S002,wash,ACT 0 — THE HOOK,0:02,Hira. A cave on a mountain outside Mecca,"A dark cave mouth in a bare rock face seen from inside, looking out at a blinding pale sky. The opening is a hard-edged shape of light. No figure. STYLE: ink and watercolour on aged parchment. Loose confident pen line, wet bleeding washes with visible grain and hard edges where the water dried. Palette: raw sienna, burnt umber, ochre, warm grey, with sparing indigo and a single warm gold accent. Muted, aged, hand-made. Generous empty parchment. Cinematic 16:9, 1920x1080.","no text, no letters, no writing, no numerals, no calligraphy, no signature, no watermark, no human face, no facial features, no portrait, no photoreal skin, no 3D render, no digital gloss, no lens flare, no modern objects, no crosses, no church architecture, no menorah, no Star of David.",16:9,S002-wash.png
S003-line,S003,S003,line,ACT 0 — THE HOOK,0:11,a man of forty who cannot read,"An empty stone ledge inside the cave, worn smooth. A folded woollen cloak resting on it, still holding the shape of a body that has gone., line art only, no colour, no wash STYLE: ink and watercolour on aged parchment. Loose confident pen line, wet bleeding washes with visible grain and hard edges where the water dried. Palette: raw sienna, burnt umber, ochre, warm grey, with sparing indigo and a single warm gold accent. Muted, aged, hand-made. Generous empty parchment. Cinematic 16:9, 1920x1080.","no text, no letters, no writing, no numerals, no calligraphy, no signature, no watermark, no human face, no facial features, no portrait, no photoreal skin, no 3D render, no digital gloss, no lens flare, no modern objects, no crosses, no church architecture, no menorah, no Star of David.",16:9,S003-line.png
S003-wash,S003,S003,wash,ACT 0 — THE HOOK,0:11,a man of forty who cannot read,"An empty stone ledge inside the cave, worn smooth. A folded woollen cloak resting on it, still holding the shape of a body that has gone. STYLE: ink and watercolour on aged parchment. Loose confident pen line, wet bleeding washes with visible grain and hard edges where the water dried. Palette: raw sienna, burnt umber, ochre, warm grey, with sparing indigo and a single warm gold accent. Muted, aged, hand-made. Generous empty parchment. Cinematic 16:9, 1920x1080.","no text, no letters, no writing, no numerals, no calligraphy, no signature, no watermark, no human face, no facial features, no portrait, no photoreal skin, no 3D render, no digital gloss, no lens flare, no modern objects, no crosses, no church architecture, no menorah, no Star of David.",16:9,S003-wash.png
S004-line,S004,S004,line,ACT 0 — THE HOOK,0:19,"He has no pen, no scroll","Three objects laid on parchment with wide space between them: a cut reed pen, a rolled blank scroll, a clay inkwell — all pushed to the frame's far edge, emphatically unused, the centre of the frame empty., line art only, no colour, no wash STYLE: ink and watercolour on aged parchment. Loose confident pen line, wet bleeding washes with visible grain and hard edges where the water dried. Palette: raw sienna, burnt umber, ochre, warm grey, with sparing indigo and a single warm gold accent. Muted, aged, hand-made. Generous empty parchment. Cinematic 16:9, 1920x1080.","no text, no letters, no writing, no numerals, no calligraphy, no signature, no watermark, no human face, no facial features, no portrait, no photoreal skin, no 3D render, no digital gloss, no lens flare, no modern objects, no crosses, no church architecture, no menorah, no Star of David.",16:9,S004-line.png
S004-wash,S004,S004,wash,ACT 0 — THE HOOK,0:19,"He has no pen, no scroll","Three objects laid on parchment with wide space between them: a cut reed pen, a rolled blank scroll, a clay inkwell — all pushed to the frame's far edge, emphatically unused, the centre of the frame empty. STYLE: ink and watercolour on aged parchment. Loose confident pen line, wet bleeding washes with visible grain and hard edges where the water dried. Palette: raw sienna, burnt umber, ochre, warm grey, with sparing indigo and a single warm gold accent. Muted, aged, hand-made. Generous empty parchment. Cinematic 16:9, 1920x1080.","no text, no letters, no writing, no numerals, no calligraphy, no signature, no watermark, no human face, no facial features, no portrait, no photoreal skin, no 3D render, no digital gloss, no lens flare, no modern objects, no crosses, no church architecture, no menorah, no Star of David.",16:9,S004-wash.png
S006-line,S006,S006,line,ACT 0 — THE HOOK,0:48,One hundred and fourteen surahs. Twenty-three years.,"A tall stack of loose parchment leaves seen edge-on, uneven, the topmost lifted slightly by air. Warm light raking across the edges., line art only, no colour, no wash STYLE: ink and watercolour on aged parchment. Loose confident pen line, wet bleeding washes with visible grain and hard edges where the water dried. Palette: raw sienna, burnt umber, ochre, warm grey, with sparing indigo and a single warm gold accent. Muted, aged, hand-made. Generous empty parchment. Cinematic 16:9, 1920x1080.","no text, no letters, no writing, no numerals, no calligraphy, no signature, no watermark, no human face, no facial features, no portrait, no photoreal skin, no 3D render, no digital gloss, no lens flare, no modern objects, no crosses, no church architecture, no menorah, no Star of David.",16:9,S006-line.png
S006-wash,S006,S006,wash,ACT 0 — THE HOOK,0:48,One hundred and fourteen surahs. Twenty-three years.,"A tall stack of loose parchment leaves seen edge-on, uneven, the topmost lifted slightly by air. Warm light raking across the edges. STYLE: ink and watercolour on aged parchment. Loose confident pen line, wet bleeding washes with visible grain and hard edges where the water dried. Palette: raw sienna, burnt umber, ochre, warm grey, with sparing indigo and a single warm gold accent. Muted, aged, hand-made. Generous empty parchment. Cinematic 16:9, 1920x1080.","no text, no letters, no writing, no numerals, no calligraphy, no signature, no watermark, no human face, no facial features, no portrait, no photoreal skin, no 3D render, no digital gloss, no lens flare, no modern objects, no crosses, no church architecture, no menorah, no Star of David.",16:9,S006-wash.png
S008-line,S008,S008,line,ACT 0 — THE HOOK,1:04,Your mushaf runs from the longest surah to the shortest,"A closed book seen from the fore-edge, the block of pages fanned so the thickness reads as mass. Warm parchment, indigo binding thread visible., line art only, no colour, no wash STYLE: ink and watercolour on aged parchment. Loose confident pen line, wet bleeding washes with visible grain and hard edges where the water dried. Palette: raw sienna, burnt umber, ochre, warm grey, with sparing indigo and a single warm gold accent. Muted, aged, hand-made. Generous empty parchment. Cinematic 16:9, 1920x1080.","no text, no letters, no writing, no numerals, no calligraphy, no signature, no watermark, no human face, no facial features, no portrait, no photoreal skin, no 3D render, no digital gloss, no lens flare, no modern objects, no crosses, no church architecture, no menorah, no Star of David.",16:9,S008-line.png
S008-wash,S008,S008,wash,ACT 0 — THE HOOK,1:04,Your mushaf runs from the longest surah to the shortest,"A closed book seen from the fore-edge, the block of pages fanned so the thickness reads as mass. Warm parchment, indigo binding thread visible. STYLE: ink and watercolour on aged parchment. Loose confident pen line, wet bleeding washes with visible grain and hard edges where the water dried. Palette: raw sienna, burnt umber, ochre, warm grey, with sparing indigo and a single warm gold accent. Muted, aged, hand-made. Generous empty parchment. Cinematic 16:9, 1920x1080.","no text, no letters, no writing, no numerals, no calligraphy, no signature, no watermark, no human face, no facial features, no portrait, no photoreal skin, no 3D render, no digital gloss, no lens flare, no modern objects, no crosses, no church architecture, no menorah, no Star of David.",16:9,S008-wash.png
S010-line,S010,S010,line,ACT 0 — THE HOOK,1:24,It is like arranging someone's letters by how long each one is,"Loose written leaves — blank, no text — sorted into descending stacks by physical size on a wooden table, tallest left, smallest right. Deliberately bureaucratic. The one visual joke in the film; play it straight., line art only, no colour, no wash STYLE: ink and watercolour on aged parchment. Loose confident pen line, wet bleeding washes with visible grain and hard edges where the water dried. Palette: raw sienna, burnt umber, ochre, warm grey, with sparing indigo and a single warm gold accent. Muted, aged, hand-made. Generous empty parchment. Cinematic 16:9, 1920x1080.","no text, no letters, no writing, no numerals, no calligraphy, no signature, no watermark, no human face, no facial features, no portrait, no photoreal skin, no 3D render, no digital gloss, no lens flare, no modern objects, no crosses, no church architecture, no menorah, no Star of David.",16:9,S010-line.png
S010-wash,S010,S010,wash,ACT 0 — THE HOOK,1:24,It is like arranging someone's letters by how long each one is,"Loose written leaves — blank, no text — sorted into descending stacks by physical size on a wooden table, tallest left, smallest right. Deliberately bureaucratic. The one visual joke in the film; play it straight. STYLE: ink and watercolour on aged parchment. Loose confident pen line, wet bleeding washes with visible grain and hard edges where the water dried. Palette: raw sienna, burnt umber, ochre, warm grey, with sparing indigo and a single warm gold accent. Muted, aged, hand-made. Generous empty parchment. Cinematic 16:9, 1920x1080.","no text, no letters, no writing, no numerals, no calligraphy, no signature, no watermark, no human face, no facial features, no portrait, no photoreal skin, no 3D render, no digital gloss, no lens flare, no modern objects, no crosses, no church architecture, no menorah, no Star of David.",16:9,S010-wash.png
S011-line,S011,S011,line,ACT 0 — THE HOOK,1:36,people being beaten in the streets of Mecca,"A narrow sunlit alley between mud-brick walls, empty. A dropped sandal and a dark stain on the packed earth. Long shadow from a wall. Nobody in frame., line art only, no colour, no wash STYLE: ink and watercolour on aged parchment. Loose confident pen line, wet bleeding washes with visible grain and hard edges where the water dried. Palette: raw sienna, burnt umber, ochre, warm grey, with sparing indigo and a single warm gold accent. Muted, aged, hand-made. Generous empty parchment. Cinematic 16:9, 1920x1080.","no text, no letters, no writing, no numerals, no calligraphy, no signature, no watermark, no human face, no facial features, no portrait, no photoreal skin, no 3D render, no digital gloss, no lens flare, no modern objects, no crosses, no church architecture, no menorah, no Star of David.",16:9,S011-line.png
S011-wash,S011,S011,wash,ACT 0 — THE HOOK,1:36,people being beaten in the streets of Mecca,"A narrow sunlit alley between mud-brick walls, empty. A dropped sandal and a dark stain on the packed earth. Long shadow from a wall. Nobody in frame. STYLE: ink and watercolour on aged parchment. Loose confident pen line, wet bleeding washes with visible grain and hard edges where the water dried. Palette: raw sienna, burnt umber, ochre, warm grey, with sparing indigo and a single warm gold accent. Muted, aged, hand-made. Generous empty parchment. Cinematic 16:9, 1920x1080.","no text, no letters, no writing, no numerals, no calligraphy, no signature, no watermark, no human face, no facial features, no portrait, no photoreal skin, no 3D render, no digital gloss, no lens flare, no modern objects, no crosses, no church architecture, no menorah, no Star of David.",16:9,S011-wash.png
S012-line,S012,S012,line,ACT 0 — THE HOOK,1:50,"a plain called Arafat, with a hundred thousand people","A vast open plain under a white sky seen from high above, the crowd rendered only as a fine speckled texture of ink dots covering the ground to the horizon. A single low hill. No individual discernible., line art only, no colour, no wash STYLE: ink and watercolour on aged parchment. Loose confident pen line, wet bleeding washes with visible grain and hard edges where the water dried. Palette: raw sienna, burnt umber, ochre, warm grey, with sparing indigo and a single warm gold accent. Muted, aged, hand-made. Generous empty parchment. Cinematic 16:9, 1920x1080.","no text, no letters, no writing, no numerals, no calligraphy, no signature, no watermark, no human face, no facial features, no portrait, no photoreal skin, no 3D render, no digital gloss, no lens flare, no modern objects, no crosses, no church architecture, no menorah, no Star of David.",16:9,S012-line.png
S012-wash,S012,S012,wash,ACT 0 — THE HOOK,1:50,"a plain called Arafat, with a hundred thousand people","A vast open plain under a white sky seen from high above, the crowd rendered only as a fine speckled texture of ink dots covering the ground to the horizon. A single low hill. No individual discernible. STYLE: ink and watercolour on aged parchment. Loose confident pen line, wet bleeding washes with visible grain and hard edges where the water dried. Palette: raw sienna, burnt umber, ochre, warm grey, with sparing indigo and a single warm gold accent. Muted, aged, hand-made. Generous empty parchment. Cinematic 16:9, 1920x1080.","no text, no letters, no writing, no numerals, no calligraphy, no signature, no watermark, no human face, no facial features, no portrait, no photoreal skin, no 3D render, no digital gloss, no lens flare, no modern objects, no crosses, no church architecture, no menorah, no Star of David.",16:9,S012-wash.png
