event,id,chapter,kind,tin,tout,dur,track,rf_parent,status,asset,prompt
1,S01,CH.01,still,0:00,0:16,16,A,,GENERATED,https://d8j0ntlcm91z4.cloudfront.net/user_3DIdxOyZbIza4RXcOmzEG5FQVOT/hf_20260818_063848_26df9cff-66c2-4832-9fd9-776c435fa789.png,"An open handwritten manuscript resting on a low wooden stand in a dark room, its two facing pages catching the light of a single oil lamp just outside the frame. The written lines are suggested only as soft horizontal strokes of ink, never legible. Deep navy shadow fills the room behind. Slight curl to the parchment. Ink and watercolour illustration, visible pen linework in deep indigo-navy, loose translucent washes bleeding past the contour lines, dry-brush texture, warm cream parchment paper showing through. Restricted palette: deep indigo-navy, warm ochre, muted terracotta, olive-sage, bone white. One warm light source, deep navy shadow everywhere else. Hand-painted storybook plate, torn deckled paper edge. 16:9. No text, no lettering, no calligraphy in the image."
2,S02,CH.01,still,0:16,0:30,14,A,,HAVE,S02.png,"The same manuscript closed, seen from above, with five thin ribbon markers of faded terracotta and bone laid between its pages, their ends fanned across the cover. Warm ochre lamplight rakes from the left, throwing five long shadows. Everything else in deep navy. Ink and watercolour illustration, visible pen linework in deep indigo-navy, loose translucent washes bleeding past the contour lines, dry-brush texture, warm cream parchment paper showing through. Restricted palette: deep indigo-navy, warm ochre, muted terracotta, olive-sage, bone white. One warm light source, deep navy shadow everywhere else. Hand-painted storybook plate, torn deckled paper edge. 16:9. No text, no lettering, no calligraphy in the image."
3,S03,CH.01,still,0:30,0:44,14,A,,PENDING,,"Two mature olive trees growing from a single joined trunk at ground level, their canopies separate above, seen against a pale cream sky at low sun. Dry stony earth. The join at the base is the focal point, lit warm ochre; the canopies fall away into navy. Ink and watercolour illustration, visible pen linework in deep indigo-navy, loose translucent washes bleeding past the contour lines, dry-brush texture, warm cream parchment paper showing through. Restricted palette: deep indigo-navy, warm ochre, muted terracotta, olive-sage, bone white. One warm light source, deep navy shadow everywhere else. Hand-painted storybook plate, torn deckled paper edge. 16:9. No text, no lettering, no calligraphy in the image."
4,S04,CH.01,still,0:44,0:58,14,A,,HAVE,S04.jpg,"A plain arched doorway in a thick mudbrick wall, seen straight on from a dark interior, warm ochre daylight flooding through it and falling in a long rectangle across a swept earth floor. The doorway is empty. Deep navy walls on both sides. Ink and watercolour illustration, visible pen linework in deep indigo-navy, loose translucent washes bleeding past the contour lines, dry-brush texture, warm cream parchment paper showing through. Restricted palette: deep indigo-navy, warm ochre, muted terracotta, olive-sage, bone white. One warm light source, deep navy shadow everywhere else. Hand-painted storybook plate, torn deckled paper edge. 16:9. No text, no lettering, no calligraphy in the image."
5,S05,CH.01,still,0:58,1:12,14,A,,HAVE,S05.jpg,"Extreme close on a carved stone lintel: two shallow grooves running side by side along the stone, which merge into a single groove at the centre of the frame. Low raking ochre light picks out the carving; the surrounding stone falls to navy. Weathered, chipped, ancient. Ink and watercolour illustration, visible pen linework in deep indigo-navy, loose translucent washes bleeding past the contour lines, dry-brush texture, warm cream parchment paper showing through. Restricted palette: deep indigo-navy, warm ochre, muted terracotta, olive-sage, bone white. One warm light source, deep navy shadow everywhere else. Hand-painted storybook plate, torn deckled paper edge. 16:9. No text, no lettering, no calligraphy in the image."
6,S06,CH.01,still,1:12,1:26,14,A,,PENDING,,"A single page of a manuscript lifting and turning, caught mid-movement, seen edge-on against a dark ground with warm light passing through the parchment so the page glows translucent ochre at its thinnest. Ink strokes visible as shadow through the sheet, never legible. Ink and watercolour illustration, visible pen linework in deep indigo-navy, loose translucent washes bleeding past the contour lines, dry-brush texture, warm cream parchment paper showing through. Restricted palette: deep indigo-navy, warm ochre, muted terracotta, olive-sage, bone white. One warm light source, deep navy shadow everywhere else. Hand-painted storybook plate, torn deckled paper edge. 16:9. No text, no lettering, no calligraphy in the image."
7,S07,CH.01,still,1:26,1:38,12,A,,PENDING,,"A heavy bronze seal pressed into a disc of dark red wax on a wooden table, the seal still resting in place, wax squeezed out in a ragged ring around it. The seal's face is a plain geometric device with no letters. Single warm ochre light from the upper left, deep navy surround. Ink and watercolour illustration, visible pen linework in deep indigo-navy, loose translucent washes bleeding past the contour lines, dry-brush texture, warm cream parchment paper showing through. Restricted palette: deep indigo-navy, warm ochre, muted terracotta, olive-sage, bone white. One warm light source, deep navy shadow everywhere else. Hand-painted storybook plate, torn deckled paper edge. 16:9. No text, no lettering, no calligraphy in the image."
8,C1,CH.01,card,1:38,1:42,4,A,,TYPESET,,وَقَضَىٰ رَبُّكَ
9,S08,CH.01,still,1:42,1:56,14,A,,HAVE,S08.jpg,"A low wooden table seen from directly above. Two hands rest on it, not touching: one old, thin-skinned, with prominent knuckles and raised veins; one younger and broader. Both cropped at the wrist by the frame edge. Bare scrubbed wood, one warm ochre pool of lamplight, navy elsewhere. Ink and watercolour illustration, visible pen linework in deep indigo-navy, loose translucent washes bleeding past the contour lines, dry-brush texture, warm cream parchment paper showing through. Restricted palette: deep indigo-navy, warm ochre, muted terracotta, olive-sage, bone white. One warm light source, deep navy shadow everywhere else. Hand-painted storybook plate, torn deckled paper edge. 16:9. No text, no lettering, no calligraphy in the image. The same table, empty, with two drinking bowls set a hand's width apart — one chipped and old, one new. Nothing else. Ink and watercolour illustration, visible pen linework in deep indigo-navy, loose translucent washes bleeding past the contour lines, dry-brush texture, warm cream parchment paper showing through. Restricted palette: deep indigo-navy, warm ochre, muted terracotta, olive-sage, bone white. One warm light source, deep navy shadow everywhere else. Hand-painted storybook plate, torn deckled paper edge. 16:9. No text, no lettering, no calligraphy in the image."
10,S09,CH.01,still,1:56,2:10,14,A,,HAVE,S09.jpg,"Two pairs of worn leather sandals set side by side on a stone step beside a doorway: one pair large and deeply creased, one pair small. Warm ochre light from the open door falls across them. Dust on the leather. Deep navy in the recesses. Ink and watercolour illustration, visible pen linework in deep indigo-navy, loose translucent washes bleeding past the contour lines, dry-brush texture, warm cream parchment paper showing through. Restricted palette: deep indigo-navy, warm ochre, muted terracotta, olive-sage, bone white. One warm light source, deep navy shadow everywhere else. Hand-painted storybook plate, torn deckled paper edge. 16:9. No text, no lettering, no calligraphy in the image."
